Anio,Mes,Procuraduria,Total,Fecha
2020,DICIEMBRE,MORELIA,489,2020-12-01
2020,DICIEMBRE,OAXACA,599,2020-12-01
2020,DICIEMBRE,ORIZABA,827,2020-12-01
2020,DICIEMBRE,PACHUCA,1864,2020-12-01
2020,DICIEMBRE,PARRAL,313,2020-12-01
2020,DICIEMBRE,POZA RICA,753,2020-12-01
2020,DICIEMBRE,PUEBLA,2637,2020-12-01
2020,DICIEMBRE,QUERETARO,4166,2020-12-01
2020,DICIEMBRE,REYNOSA,458,2020-12-01
2020,DICIEMBRE,SALTILLO,1084,2020-12-01
2020,DICIEMBRE,SAN LUIS POTOSI,684,2020-12-01
2020,DICIEMBRE,TAMPICO,847,2020-12-01
2020,DICIEMBRE,TEPIC,517,2020-12-01
2020,DICIEMBRE,TIJUANA,1276,2020-12-01
2020,DICIEMBRE,TLAXCALA,486,2020-12-01
2020,DICIEMBRE,TOLUCA,950,2020-12-01
2020,DICIEMBRE,TORREON,1213,2020-12-01
2020,DICIEMBRE,TUXTLA GTEZ.,816,2020-12-01
2020,DICIEMBRE,VERACRUZ,636,2020-12-01
2020,DICIEMBRE,VILLAHERMOSA,951,2020-12-01
2020,DICIEMBRE,ZACATECAS,416,2020-12-01
2021,JUNIO,ACAPULCO,543,2021-06-01
2021,JUNIO,AGUASCALIENTES,501,2021-06-01
2021,JUNIO,AZCAPOTZALCO (JFCA),0,2021-06-01
2021,JUNIO,CAMPECHE,363,2021-06-01
2021,JUNIO,CANANEA,446,2021-06-01
2021,JUNIO,CANCUN Q. ROO,445,2021-06-01
2021,JUNIO,CD. DEL CARMEN,335,2021-06-01
2021,JUNIO,CD. JUAREZ,1813,2021-06-01
2021,JUNIO,CD. VICTORIA,266,2021-06-01
2021,JUNIO,CHIHUAHUA,1323,2021-06-01
2021,JUNIO,COATZACOALCOS,11919,2021-06-01
2021,JUNIO,COLIMA,1277,2021-06-01
2021,JUNIO,CUERNAVACA,372,2021-06-01
2021,JUNIO,CULIACAN,800,2021-06-01
2021,JUNIO,CIUDAD DE MEXICO,1769,2021-06-01
2021,JUNIO,DURANGO,687,2021-06-01
2021,JUNIO,ENSENADA,493,2021-06-01
2021,JUNIO,GUADALAJARA,2684,2021-06-01
2021,JUNIO,GUANAJUATO,1688,2021-06-01
2021,JUNIO,HERMOSILLO,1767,2021-06-01
2021,JUNIO,JALAPA,1099,2021-06-01
2021,JUNIO,LA PAZ,958,2021-06-01
2021,JUNIO,MERIDA,672,2021-06-01
2021,JUNIO,MONTERREY,1412,2021-06-01
2021,JUNIO,MORELIA,503,2021-06-01
2021,JUNIO,OAXACA,541,2021-06-01
2021,JUNIO,ORIZABA,839,2021-06-01
2021,JUNIO,PACHUCA,1877,2021-06-01
2021,JUNIO,PARRAL,281,2021-06-01
2021,JUNIO,POZA RICA,762,2021-06-01
2021,JUNIO,PUEBLA,2564,2021-06-01
2021,JUNIO,QUERETARO,4199,2021-06-01
2021,JUNIO,REYNOSA,461,2021-06-01
2021,JUNIO,SALTILLO,1073,2021-06-01
2021,JUNIO,SAN LUIS POTOSI,586,2021-06-01
2021,JUNIO,TAMPICO,862,2021-06-01
2021,JUNIO,TEPIC,583,2021-06-01
2021,JUNIO,TIJUANA,1225,2021-06-01
2021,JUNIO,TLAXCALA,513,2021-06-01
2021,JUNIO,TOLUCA,990,2021-06-01
2021,JUNIO,TORREON,1343,2021-06-01
2021,JUNIO,TUXTLA GTEZ.,814,2021-06-01
2021,JUNIO,VERACRUZ,578,2021-06-01
2021,JUNIO,VILLAHERMOSA,935,2021-06-01
2021,JUNIO,ZACATECAS,344,2021-06-01
2021,DICIEMBRE,ACAPULCO,477,2021-12-01
2021,DICIEMBRE,AGUASCALIENTES,427,2021-12-01
2021,DICIEMBRE,AZCAPOTZALCO (JFCA),0,2021-12-01
2021,DICIEMBRE,CAMPECHE,340,2021-12-01
2021,DICIEMBRE,CANANEA,454,2021-12-01
2021,DICIEMBRE,CANCUN Q. ROO,418,2021-12-01
2021,DICIEMBRE,CD. DEL CARMEN,332,2021-12-01
2021,DICIEMBRE,CD. JUAREZ,2063,2021-12-01
2021,DICIEMBRE,CD. VICTORIA,280,2021-12-01
2021,DICIEMBRE,CHIHUAHUA,1245,2021-12-01
2021,DICIEMBRE,COATZACOALCOS,1236,2021-12-01
2021,DICIEMBRE,COLIMA,364,2021-12-01
2021,DICIEMBRE,CUERNAVACA,835,2021-12-01
2021,DICIEMBRE,CULIACAN,1729,2021-12-01
2021,DICIEMBRE,CIUDAD DE MEXICO,12231,2021-12-01
2021,DICIEMBRE,DURANGO,713,2021-12-01
2021,DICIEMBRE,ENSENADA,496,2021-12-01
2021,DICIEMBRE,GUADALAJARA,2752,2021-12-01
2021,DICIEMBRE,GUANAJUATO,1701,2021-12-01
2021,DICIEMBRE,HERMOSILLO,1730,2021-12-01
2021,DICIEMBRE,JALAPA,1155,2021-12-01
2021,DICIEMBRE,LA PAZ,946,2021-12-01
2021,DICIEMBRE,MERIDA,658,2021-12-01
2021,DICIEMBRE,MONTERREY,1431,2021-12-01
2021,DICIEMBRE,MORELIA,471,2021-12-01
2021,DICIEMBRE,OAXACA,490,2021-12-01
2021,DICIEMBRE,ORIZABA,789,2021-12-01
2021,DICIEMBRE,PACHUCA,1855,2021-12-01
2021,DICIEMBRE,PARRAL,238,2021-12-01
2021,DICIEMBRE,POZA RICA,793,2021-12-01
2021,DICIEMBRE,PUEBLA,2402,2021-12-01
2021,DICIEMBRE,QUERETARO,4026,2021-12-01
2021,DICIEMBRE,REYNOSA,465,2021-12-01
2021,DICIEMBRE,SALTILLO,1122,2021-12-01
2021,DICIEMBRE,SAN LUIS POTOSI,604,2021-12-01
2021,DICIEMBRE,TAMPICO,863,2021-12-01
2021,DICIEMBRE,TEPIC,579,2021-12-01
2021,DICIEMBRE,TIJUANA,1160,2021-12-01
2021,DICIEMBRE,TLAXCALA,542,2021-12-01
2021,DICIEMBRE,TOLUCA,1061,2021-12-01
2021,DICIEMBRE,TORREON,1334,2021-12-01
2021,DICIEMBRE,TUXTLA GTEZ.,761,2021-12-01
2021,DICIEMBRE,VERACRUZ,595,2021-12-01
2021,DICIEMBRE,VILLAHERMOSA,938,2021-12-01
2021,DICIEMBRE,ZACATECAS,271,2021-12-01
2022,JUNIO,ACAPULCO,421,2022-06-01
2022,JUNIO,AGUASCALIENTES,313,2022-06-01
2022,JUNIO,AZCAPOTZALCO (JFCA),0,2022-06-01
2022,JUNIO,CAMPECHE,266,2022-06-01
2022,JUNIO,CANANEA,364,2022-06-01
2022,JUNIO,CANCUN Q. ROO,356,2022-06-01
2022,JUNIO,CD. DEL CARMEN,260,2022-06-01
